Sofitel Bora Bora Marara Beach Resort,https://www.tripadvisor.fr/Hotel_Review-g311415-d299700-Reviews-Sofitel_Bora_Bora_Marara_Beach_Resort-Bora_Bora_Society_Islands.html
Sofitel Bora Bora Marara Private Island,https://www.tripadvisor.fr/Hotel_Review-g311415-d3451635-Reviews-Sofitel_Bora_Bora_Private_Island-Bora_Bora_Society_Islands.html
InterContinental Bora Bora Resort & Thalasso Spa,https://www.tripadvisor.fr/Hotel_Review-g311415-d596139-Reviews-InterContinental_Bora_Bora_Resort_Thalasso_Spa-Bora_Bora_Society_Islands.html
InterContinental Bora Bora Le Moana Resort,https://www.tripadvisor.fr/Hotel_Review-g311415-d307154-Reviews-InterContinental_Bora_Bora_Le_Moana_Resort-Bora_Bora_Society_Islands.html
The St. Régis Bora Bora Resort,https://www.tripadvisor.fr/Hotel_Review-g311415-d597947-Reviews-The_St_Regis_Bora_Bora_Resort-Bora_Bora_Society_Islands.html
Four Seasons Resort Bora Bora,https://www.tripadvisor.fr/Hotel_Review-g311415-d887085-Reviews-Four_Seasons_Resort_Bora_Bora-Bora_Bora_Society_Islands.html
Bora Bora Pearl Beach Resort & Spa,https://www.tripadvisor.fr/Hotel_Review-g311415-d307150-Reviews-Bora_Bora_Pearl_Beach_Resort_Spa-Bora_Bora_Society_Islands.html
Hôtel Maitai Rangiroa,https://www.tripadvisor.fr/Hotel_Review-g1154800-d501353-Reviews-Hotel_Maitai_Rangiroa-Avatoru_Rangiroa_Tuamotu_Archipelago.html
Hôtel Kia Ora Resort & Spa,https://www.tripadvisor.fr/Hotel_Review-g1154800-d324971-Reviews-Hotel_Kia_Ora_Resort_Spa-Avatoru_Rangiroa_Tuamotu_Archipelago.html
Le Sauvage Private Island,https://www.tripadvisor.fr/Hotel_Review-g7363059-d585462-Reviews-Le_Sauvage_Private_Island-Avea_Rahi_Motu_Rangiroa_Tuamotu_Archipelago.html
Tikehau Pearl Beach Resort,https://www.tripadvisor.fr/Hotel_Review-g311418-d320588-Reviews-Tikehau_Pearl_Beach_Resort-Tikehau_Tuamotu_Archipelago.html
Keikahanui Nuku Hiva Pearl Lodge,https://www.tripadvisor.fr/Hotel_Review-g294344-d307159-Reviews-Keikahanui_Nuku_Hiva_Pearl_Lodge-Nuku_Hiva_Marquesas_Islands.html
Hiva Oa Hanakee Pearl Lodge,https://www.tripadvisor.fr/Hotel_Review-g294343-d307158-Reviews-Hanakee_Hiva_Oa_Pearl_Lodge-Hiva_Oa_Marquesas_Islands.html
